gisaid_epi_isl,Region,Lab,Date
EPI_ISL_356295_2019-01-10,Africa,Africa,2019.024658
EPI_ISL_363933_2019-01-14,Africa,Africa,2019.035616
EPI_ISL_355602_2019-01-08,Africa,Africa,2019.019178
EPI_ISL_364010_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_362223_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_363935_2019-01-24,Africa,Africa,2019.063014
EPI_ISL_365834_2019-01-31,Africa,Africa,2019.082192
EPI_ISL_351920_2019-01-02,Africa,Africa,2019.00274
EPI_ISL_363869_2019-01-31,Africa,Africa,2019.082192
EPI_ISL_362391_2019-01-09,Africa,Africa,2019.021918
EPI_ISL_347952_2019-01-09,Africa,Africa,2019.021918
EPI_ISL_393980_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_364009_2019-01-22,Africa,Africa,2019.057534
EPI_ISL_362172_2019-01-31,Africa,Africa,2019.082192
EPI_ISL_362553_2019-01-11,Africa,Africa,2019.027397
EPI_ISL_355120_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_377866_2019-01-20,Africa,Africa,2019.052055
EPI_ISL_393981_2019-01-29,Africa,Africa,2019.076712
EPI_ISL_367798_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_355001_2019-01-20,Africa,Africa,2019.052055
EPI_ISL_377868_2019-01-31,Africa,Africa,2019.082192
EPI_ISL_363091_2019-01-08,Africa,Africa,2019.019178
EPI_ISL_364011_2019-01-10,Africa,Africa,2019.024658
EPI_ISL_355101_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_398311_2019-01-24,Africa,Africa,2019.063014
EPI_ISL_363934_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_363965_2019-01-20,Africa,Africa,2019.052055
EPI_ISL_355117_2019-01-04,Africa,Africa,2019.008219
EPI_ISL_351924_2019-01-09,Africa,Africa,2019.021918
EPI_ISL_367796_2019-01-02,Africa,Africa,2019.00274
EPI_ISL_362634_2019-01-08,Africa,Africa,2019.019178
EPI_ISL_355634_2019-01-22,Africa,Africa,2019.057534
EPI_ISL_377873_2019-01-28,Africa,Africa,2019.073973
EPI_ISL_377899_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_356312_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_355637_2019-01-24,Africa,Africa,2019.063014
EPI_ISL_377865_2019-01-23,Africa,Africa,2019.060274
EPI_ISL_362179_2019-01-28,Africa,Africa,2019.073973
EPI_ISL_377686_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_342105_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_377337_2019-01-08,Africa,Africa,2019.019178
EPI_ISL_362396_2019-01-28,Africa,Africa,2019.073973
EPI_ISL_356293_2019-01-14,Africa,Africa,2019.035616
EPI_ISL_363969_2019-01-07,Africa,Africa,2019.016438
EPI_ISL_362395_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_348160_2019-01-02,Africa,Africa,2019.00274
EPI_ISL_363867_2019-01-25,Africa,Africa,2019.065753
EPI_ISL_367797_2019-01-08,Africa,Africa,2019.019178
EPI_ISL_363970_2019-01-11,Africa,Africa,2019.027397
EPI_ISL_363880_2019-01-28,Africa,Africa,2019.073973
EPI_ISL_386858_2019-02-10,Africa,Africa,2019.109589
EPI_ISL_362232_2019-02-26,Africa,Africa,2019.153425
EPI_ISL_362155_2019-02-04,Africa,Africa,2019.093151
EPI_ISL_363878_2019-02-04,Africa,Africa,2019.093151
EPI_ISL_362228_2019-02-18,Africa,Africa,2019.131507
EPI_ISL_393572_2019-02-28,Africa,Africa,2019.158904
EPI_ISL_392522_2019-02-11,Africa,Africa,2019.112329
EPI_ISL_362394_2019-02-05,Africa,Africa,2019.09589
EPI_ISL_362178_2019-02-03,Africa,Africa,2019.090411
EPI_ISL_363879_2019-02-04,Africa,Africa,2019.093151
EPI_ISL_363906_2019-02-12,Africa,Africa,2019.115068
EPI_ISL_393567_2019-02-18,Africa,Africa,2019.131507
EPI_ISL_363900_2019-02-24,Africa,Africa,2019.147945
